                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,3.169,5.2342,4.1458,0.00155,0.16933,0.00125,0.00035,2.8664,4.0286,3.9437,0.0033279,0.0033279,0.0033279
2,2.5958,4.7478,3.3076,0.35544,0.03973,0.02301,0.00792,2.286,3.6951,3.1873,0.0066519,0.0066519,0.0066519
3,1.6462,3.2935,2.163,0.21468,0.19713,0.11864,0.05793,1.7964,3.048,2.4357,0.0099576,0.0099576,0.0099576
4,1.4276,2.6187,1.8712,0.4328,0.36924,0.33811,0.20208,1.4206,2.2097,1.9708,0.0099151,0.0099151,0.0099151
5,1.3872,2.4951,1.8197,0.53905,0.38475,0.36647,0.22397,1.359,2.1095,1.9056,0.009901,0.009901,0.009901
6,1.3561,2.4132,1.7867,0.46215,0.41889,0.38515,0.24972,1.2765,2.0699,1.7861,0.0098869,0.0098869,0.0098869
7,1.3332,2.3495,1.7669,0.49965,0.42693,0.41209,0.26186,1.3059,1.9381,1.8119,0.0098727,0.0098727,0.0098727
8,1.311,2.2755,1.7379,0.52138,0.45834,0.43876,0.28248,1.2822,1.8611,1.7856,0.0098586,0.0098586,0.0098586
9,1.2783,2.1736,1.6982,0.51547,0.49112,0.49291,0.33093,1.1834,1.6934,1.7008,0.0098303,0.0098303,0.0098303
10,1.2556,2.0922,1.6748,0.61826,0.47685,0.50429,0.34164,1.1591,1.6262,1.6681,0.009802,0.009802,0.009802
11,1.2381,2.0304,1.6545,0.49912,0.50796,0.50405,0.34832,1.1329,1.6341,1.6193,0.0097879,0.0097879,0.0097879
12,1.225,2.0006,1.6383,0.59447,0.50999,0.5358,0.36452,1.1427,1.5476,1.6338,0.0097737,0.0097737,0.0097737
13,1.1858,1.8965,1.6011,0.57109,0.5739,0.58663,0.40487,1.0795,1.4164,1.5642,0.0097171,0.0097171,0.0097171
14,1.175,1.8594,1.5846,0.63771,0.55324,0.58902,0.41535,1.0575,1.3829,1.5486,0.009703,0.009703,0.009703
15,1.1705,1.8219,1.5785,0.60881,0.57235,0.60457,0.42157,1.0681,1.3471,1.5551,0.0096889,0.0096889,0.0096889
16,1.1548,1.802,1.5603,0.60063,0.58545,0.61868,0.44192,1.0319,1.2921,1.5246,0.0096606,0.0096606,0.0096606
17,1.1494,1.7835,1.557,0.65343,0.5968,0.62732,0.45042,0.99996,1.2706,1.4872,0.0096464,0.0096464,0.0096464
18,1.1354,1.7305,1.5404,0.63867,0.58668,0.6335,0.45808,0.99256,1.2397,1.4861,0.0096181,0.0096181,0.0096181
19,1.1189,1.685,1.523,0.63573,0.62291,0.6569,0.47837,0.9613,1.1735,1.4493,0.0095757,0.0095757,0.0095757
20,1.1173,1.6676,1.5255,0.64321,0.63949,0.6647,0.48513,0.95442,1.1563,1.4489,0.0095616,0.0095616,0.0095616
21,1.106,1.6529,1.5123,0.68067,0.6132,0.67251,0.49174,0.95923,1.1423,1.4508,0.0095474,0.0095474,0.0095474
22,1.1065,1.6341,1.5103,0.68518,0.6275,0.67577,0.49625,0.94058,1.1167,1.4186,0.0095191,0.0095191,0.0095191
23,1.0875,1.594,1.4921,0.6709,0.65751,0.69603,0.51971,0.90776,1.0552,1.3959,0.0094767,0.0094767,0.0094767
24,1.0856,1.5958,1.4913,0.67598,0.65843,0.70027,0.52311,0.89931,1.0489,1.3876,0.0094626,0.0094626,0.0094626
25,1.0817,1.5825,1.4864,0.67047,0.65179,0.70485,0.52703,0.89996,1.0469,1.3868,0.0094484,0.0094484,0.0094484
26,1.072,1.5461,1.4742,0.66947,0.68837,0.71666,0.54188,0.87952,1.0063,1.3562,0.0094201,0.0094201,0.0094201
27,1.0648,1.5374,1.4725,0.67107,0.67111,0.71342,0.53666,0.88191,1.0114,1.364,0.009406,0.009406,0.009406
28,1.0595,1.5252,1.4605,0.66524,0.68339,0.71416,0.54261,0.86403,0.99364,1.344,0.0093777,0.0093777,0.0093777
29,1.0566,1.5117,1.4541,0.65175,0.69494,0.71891,0.54641,0.8591,0.97991,1.3399,0.0093636,0.0093636,0.0093636
30,1.0445,1.4842,1.4477,0.67548,0.70068,0.73573,0.56415,0.8425,0.94791,1.321,0.0093211,0.0093211,0.0093211
31,1.0451,1.4676,1.4451,0.70032,0.70631,0.74779,0.573,0.83739,0.93646,1.3158,0.009307,0.009307,0.009307
32,1.0478,1.4716,1.4465,0.70987,0.69233,0.74804,0.5727,0.83474,0.92569,1.317,0.0092787,0.0092787,0.0092787
33,1.0381,1.4609,1.4354,0.71158,0.69214,0.74945,0.57625,0.82758,0.91721,1.309,0.0092646,0.0092646,0.0092646
34,1.0355,1.4505,1.439,0.71753,0.69332,0.75275,0.5802,0.82276,0.91227,1.3038,0.0092504,0.0092504,0.0092504
35,1.0269,1.4406,1.4331,0.7293,0.70146,0.763,0.59062,0.81039,0.89228,1.2916,0.009208,0.009208,0.009208
36,1.0227,1.4229,1.4265,0.72886,0.70697,0.76627,0.59472,0.80373,0.8824,1.2854,0.0091939,0.0091939,0.0091939
37,1.0212,1.404,1.4177,0.71371,0.72152,0.76996,0.59926,0.79538,0.87321,1.276,0.0091656,0.0091656,0.0091656
38,1.0193,1.3975,1.4196,0.71271,0.7217,0.77324,0.6022,0.79349,0.86673,1.2725,0.0091514,0.0091514,0.0091514
39,1.0124,1.3865,1.4166,0.73942,0.7095,0.77302,0.60265,0.79112,0.86194,1.2705,0.0091373,0.0091373,0.0091373
40,1.0184,1.4015,1.4217,0.73221,0.72593,0.77674,0.60459,0.79097,0.85437,1.2701,0.0091231,0.0091231,0.0091231
41,1.0093,1.3885,1.4084,0.72422,0.73473,0.77732,0.60892,0.78328,0.85198,1.2638,0.009109,0.009109,0.009109
42,1.002,1.3733,1.402,0.75036,0.71482,0.78002,0.61114,0.77595,0.84188,1.2577,0.0090807,0.0090807,0.0090807
43,0.99694,1.3623,1.3991,0.74661,0.72562,0.78408,0.61624,0.76933,0.83096,1.2482,0.0090524,0.0090524,0.0090524
44,1.0092,1.3599,1.4068,0.73461,0.74304,0.78998,0.62181,0.76369,0.82335,1.2424,0.0090241,0.0090241,0.0090241
45,0.99066,1.344,1.3895,0.75725,0.73268,0.79408,0.62552,0.76106,0.81426,1.239,0.00901,0.00901,0.00901
46,0.99287,1.331,1.391,0.76017,0.73257,0.7977,0.62946,0.75501,0.80732,1.2326,0.0089817,0.0089817,0.0089817
47,0.98538,1.3323,1.385,0.75379,0.7428,0.80044,0.63237,0.75285,0.80095,1.231,0.0089676,0.0089676,0.0089676
48,0.99116,1.3259,1.3872,0.74953,0.75237,0.80162,0.63336,0.7526,0.79882,1.2301,0.0089534,0.0089534,0.0089534
49,0.98652,1.3285,1.3832,0.75324,0.75097,0.80269,0.63503,0.75048,0.79405,1.2281,0.0089393,0.0089393,0.0089393
50,0.97965,1.314,1.3805,0.74998,0.75702,0.80775,0.63964,0.74456,0.78317,1.223,0.008911,0.008911,0.008911
51,0.97807,1.313,1.3807,0.76659,0.7516,0.81014,0.64207,0.74219,0.77912,1.2207,0.0088969,0.0088969,0.0088969
52,0.97931,1.2956,1.3768,0.76359,0.75178,0.81189,0.64422,0.73965,0.77325,1.2177,0.0088827,0.0088827,0.0088827
53,0.98108,1.3085,1.3775,0.76998,0.75305,0.81454,0.6469,0.73633,0.76596,1.2132,0.0088544,0.0088544,0.0088544
54,0.96642,1.2755,1.3684,0.76049,0.76316,0.81649,0.64974,0.73185,0.76058,1.2091,0.0088261,0.0088261,0.0088261
55,0.97306,1.2753,1.3698,0.75895,0.76636,0.8193,0.65293,0.72685,0.75532,1.2049,0.0087979,0.0087979,0.0087979
56,0.96483,1.2816,1.3661,0.76678,0.76474,0.82019,0.65425,0.72505,0.75262,1.2029,0.0087837,0.0087837,0.0087837
57,0.97154,1.286,1.3679,0.76978,0.76405,0.82119,0.65572,0.72297,0.74923,1.2005,0.0087696,0.0087696,0.0087696
58,0.97044,1.2787,1.3742,0.77017,0.76538,0.82228,0.65818,0.72076,0.74732,1.1983,0.0087554,0.0087554,0.0087554
59,0.96617,1.2719,1.3656,0.77639,0.76103,0.8232,0.65926,0.71914,0.74526,1.1971,0.0087413,0.0087413,0.0087413
60,0.96417,1.2571,1.3601,0.77982,0.76344,0.82508,0.66168,0.71593,0.73987,1.1931,0.008713,0.008713,0.008713
61,0.95512,1.2389,1.3548,0.7825,0.76673,0.82829,0.66489,0.71084,0.73293,1.1887,0.0086706,0.0086706,0.0086706
62,0.95925,1.253,1.3603,0.78277,0.76876,0.82883,0.66553,0.70925,0.73024,1.187,0.0086564,0.0086564,0.0086564
63,0.94607,1.2411,1.3484,0.78506,0.7697,0.8297,0.66701,0.70799,0.72771,1.1857,0.0086423,0.0086423,0.0086423
64,0.95241,1.2442,1.3543,0.78481,0.77294,0.83196,0.6689,0.70563,0.72341,1.1834,0.008614,0.008614,0.008614
65,0.95175,1.2409,1.352,0.78511,0.77292,0.83305,0.67001,0.70492,0.72129,1.1829,0.0085999,0.0085999,0.0085999
66,0.95213,1.2173,1.35,0.79243,0.76936,0.83435,0.67253,0.70273,0.7173,1.1802,0.0085716,0.0085716,0.0085716
67,0.95497,1.2261,1.3495,0.79043,0.77257,0.83504,0.67327,0.70215,0.71566,1.1793,0.0085574,0.0085574,0.0085574
68,0.94297,1.2201,1.3418,0.79319,0.77253,0.83663,0.67501,0.69971,0.71206,1.1766,0.0085291,0.0085291,0.0085291
69,0.94539,1.2107,1.342,0.79616,0.76913,0.83775,0.6769,0.69793,0.70942,1.1746,0.0085009,0.0085009,0.0085009
70,0.94381,1.2166,1.3436,0.79299,0.77093,0.83834,0.67767,0.69678,0.70773,1.1735,0.0084867,0.0084867,0.0084867
71,0.94793,1.2188,1.3417,0.79248,0.77299,0.83892,0.67843,0.69566,0.70646,1.1723,0.0084726,0.0084726,0.0084726
72,0.94048,1.2087,1.3396,0.79358,0.77258,0.84046,0.68071,0.69333,0.70336,1.1699,0.0084443,0.0084443,0.0084443
73,0.9323,1.1919,1.3363,0.80055,0.77001,0.8411,0.68166,0.69229,0.70193,1.1689,0.0084301,0.0084301,0.0084301
74,0.94122,1.198,1.3376,0.80145,0.77078,0.84166,0.68236,0.69146,0.7004,1.1678,0.008416,0.008416,0.008416
75,0.93025,1.1783,1.3275,0.79498,0.77539,0.84254,0.68392,0.68985,0.69797,1.1663,0.0083877,0.0083877,0.0083877
76,0.94195,1.1938,1.3395,0.79774,0.77444,0.84323,0.6847,0.68926,0.69697,1.1656,0.0083736,0.0083736,0.0083736
77,0.93102,1.1805,1.3235,0.79413,0.77708,0.84373,0.68509,0.68847,0.69577,1.1648,0.0083594,0.0083594,0.0083594
78,0.92996,1.1761,1.331,0.79766,0.7759,0.84433,0.68625,0.68691,0.69408,1.1633,0.0083311,0.0083311,0.0083311
79,0.92559,1.1687,1.3235,0.7913,0.78227,0.84495,0.6873,0.68544,0.69155,1.162,0.0083029,0.0083029,0.0083029
80,0.92215,1.1706,1.3242,0.79093,0.78349,0.84542,0.68808,0.68477,0.69038,1.1613,0.0082887,0.0082887,0.0082887
81,0.92373,1.167,1.3278,0.79351,0.78358,0.84659,0.68951,0.68339,0.68788,1.1599,0.0082604,0.0082604,0.0082604
82,0.92681,1.1665,1.3247,0.79379,0.78432,0.84742,0.69033,0.68285,0.68664,1.1593,0.0082463,0.0082463,0.0082463
83,0.92422,1.1658,1.3254,0.79379,0.78633,0.84828,0.69106,0.68222,0.6857,1.1586,0.0082321,0.0082321,0.0082321
84,0.92514,1.1646,1.3203,0.79469,0.78654,0.84908,0.69199,0.68086,0.68363,1.1574,0.0082039,0.0082039,0.0082039
85,0.92337,1.1581,1.3185,0.78501,0.79711,0.84964,0.69258,0.68039,0.68262,1.1568,0.0081897,0.0081897,0.0081897
